test_1	Q0	New_Hampshire_18060923_6	1	21.43486844065021	BM25_Baseline
test_1	Q0	Massachusetts_18490609_	2	20.778074356650627	BM25_Baseline
test_1	Q0	New_Hampshire_18001028_9	3	19.908252378103697	BM25_Baseline
test_1	Q0	New_Jersey_18880911_16	4	17.841235333496936	BM25_Baseline
test_1	Q0	Rhode_Island_19070909_15	5	17.666788284945586	BM25_Baseline
test_10	Q0	West_Virginia_18040803_9	1	22.726330104607243	BM25_Baseline
test_10	Q0	West_Virginia_18040803_2	2	17.640394467309264	BM25_Baseline
test_10	Q0	West_Virginia_18040803_	3	17.591207636540425	BM25_Baseline
test_10	Q0	Georgia_19140202_10	4	15.491514604045909	BM25_Baseline
test_10	Q0	West_Virginia_18040803_8	5	15.475930494274175	BM25_Baseline
test_100	Q0	Virginia_18090202_2	1	42.24185751669911	BM25_Baseline
test_100	Q0	Ohio_18400424_17	2	25.97216561416813	BM25_Baseline
test_100	Q0	Iowa_18450529_23	3	25.329671903762694	BM25_Baseline
test_100	Q0	West_Virginia_18750818_1	4	25.00334255379964	BM25_Baseline
test_100	Q0	Missouri_18581021_14	5	24.87542822798348	BM25_Baseline
test_1000	Q0	Illinois_18330828_23	1	24.75232416766961	BM25_Baseline
test_1000	Q0	Arkansas_18461021_20	2	24.213034172818755	BM25_Baseline
test_1000	Q0	New_Mexico_18610921_15	3	23.57008681652751	BM25_Baseline
test_1000	Q0	New_Mexico_18610921_13	4	23.45857061767799	BM25_Baseline
test_1000	Q0	Vermont_18610711_37	5	23.3849668431908	BM25_Baseline
test_10000	Q0	Virginia_18680502_19	1	23.46449867839193	BM25_Baseline
test_10000	Q0	New_York_18600903_39	2	21.34067976221337	BM25_Baseline
test_10000	Q0	Massachusetts_18981108_5	3	20.355679450390816	BM25_Baseline
test_10000	Q0	Ohio_18381117_17	4	20.150269447531105	BM25_Baseline
test_10000	Q0	New_York_18880428_2	5	19.32666188041606	BM25_Baseline
test_10001	Q0	Connecticut__18620717_4	1	24.447112947291046	BM25_Baseline
test_10001	Q0	Virginia_19110128_20	2	21.469338262821296	BM25_Baseline
